Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000194,Lichfield,16,15.1,17,16.2,15,14.3,15,14.3,15,14.3,15,14.4,14,13.5,12,11.5,,,,,,,,,,,,
E07000195,Newcastle-under-Lyme,40,30.9,39,30.1,38,29.4,26,20.1,25,19.3,25,19.3,25,19.3,25,19.3,,,,,,,,,,,,
E07000196,South Staffordshire,46,40.9,49,43.6,46,40.9,46,40.9,16,14.2,15,13.4,12,10.7,11,9.8,,,,,,,,,,,,
E07000197,Stafford,29,21.0,28,20.4,27,19.7,28,20.4,27,19.7,25,18.4,26,19.1,26,19.1,,,,,,,,,,,,
E07000198,Staffordshire Moorlands,9,9.1,9,9.1,9,9.1,9,9.1,8,8.1,8,8.1,8,8.1,7,7.1,,,,,,,,,,,,
E07000199,Tamworth,11,14.3,7,9.1,7,9.1,7,9.1,5,6.5,5,6.5,3,3.9,3,3.9,,,,,,,,,,,,
E10000031,Warwickshire,223,38.2,186,32.2,153,26.5,142,24.6,140,24.2,131,22.9,116,20.3,101,17.7,,,,,,,,,,,,
E07000218,North Warwickshire,28,42.8,28,42.9,13,19.9,12,18.4,12,18.4,12,18.5,10,15.4,8,12.3,,,,,,,,,,,,
E07000219,Nuneaton and Bedworth,20,15.3,20,15.4,16,12.3,13,10.0,13,10.0,13,10.1,13,10.1,9,7.0,,,,,,,,,,,,
E07000220,Rugby,45,40.7,21,19.3,21,19.3,18,16.5,15,13.8,15,14.0,4,3.7,3,2.8,,,,,,,,,,,,
E07000221,Stratford-on-Avon,77,58.2,71,54.6,62,47.7,59,45.4,60,46.1,58,45.5,57,44.7,52,40.8,,,,,,,,,,,,
E07000222,Warwick,53,36.6,46,32.0,41,28.5,40,27.8,40,27.8,33,23.2,32,22.5,29,20.4,,,,,,,,,,,,
E11000005,West Midlands (Met County),839,28.5,632,21.6,579,19.8,544,18.6,478,16.3,455,15.6,423,14.5,390,13.4,,,,,,,,,,,,
E08000025,Birmingham,134,11.7,130,11.4,122,10.7,107,9.4,103,9.0,99,8.7,95,8.3,90,7.9,,,,,,,,,,,,
E08000026,Coventry,456,120.2,296,79.7,260,70.0,256,68.9,203,54.6,184,50.2,170,46.3,156,42.5,,,,,,,,,,,,
E08000027,Dudley,37,11.5,35,10.9,34,10.6,34,10.6,34,10.6,34,10.6,32,10.0,30,9.4,,,,,,,,,,,,
E08000028,Sandwell,36,10.9,33,10.0,30,9.1,28,8.5,29,8.8,29,8.9,29,8.9,23,7.0,,,,,,,,,,,,
E08000029,Solihull,116,53.3,79,36.5,82,37.9,71,32.8,66,30.5,66,30.7,56,26.1,53,24.7,,,,,,,,,,,,
E08000030,Walsall,21,7.3,22,7.7,20,7.0,19,6.7,18,6.3,18,6.4,16,5.6,14,4.9,,,,,,,,,,,,
E08000031,Wolverhampton,39,14.7,37,14.0,31,11.8,29,11.0,25,9.5,25,9.5,25,9.5,24,9.2,,,,,,,,,,,,
E10000034,Worcestershire,139,23.2,127,21.3,124,20.8,122,20.5,124,20.8,119,20.1,103,17.4,97,16.4,,,,,,,,,,,,
E07000234,Bromsgrove,42,41.8,33,33.0,33,33.0,32,32.0,32,32.0,32,32.4,32,32.4,31,31.4,,,,,,,,,,,,
E07000235,Malvern Hills,10,12.6,12,15.2,12,15.2,12,15.2,12,15.2,12,15.4,12,15.4,12,15.4,,,,,,,,,,,,
E07000236,Redditch,11,12.9,11,12.9,9,10.6,9,10.6,8,9.4,8,9.4,8,9.4,7,8.2,,,,,,,,,,,,
E07000237,Worcester,20,19.9,20,19.8,20,19.8,20,19.8,19,18.8,19,18.6,19,18.6,18,17.7,,,,,,,,,,,,
E07000238,Wychavon,41,31.3,42,32.4,42,32.4,41,31.7,45,34.8,40,31.4,24,18.8,21,16.5,,,,,,,,,,,,
E07000239,Wyre Forest,15,14.8,9,8.9,8,7.9,8,7.9,8,7.9,8,7.9,8,7.9,8,7.9,,,,,,,,,,,,
E12000006,EAST OF ENGLAND,"1,569",25.0,"1,394",22.4,"1,289",20.7,"1,229",19.7,"1,119",17.9,"1,069",17.2,963,15.5,909,14.7,,,,,,,,,,,,
E06000055,Bedford,87,49.8,63,36.4,50,28.9,48,27.7,38,21.9,36,21.0,34,19.8,33,19.2,,,,,,,,,,,,
E06000056,Central Bedfordshire,45,15.3,41,14.2,39,13.5,38,13.2,38,13.2,38,13.4,37,13.0,38,13.4,,,,,,,,,,,,
E06000032,Luton,50,23.4,55,25.8,57,26.8,59,27.7,55,25.8,56,26.2,54,25.2,53,24.8,,,,,,,,,,,,
E06000031,Peterborough,66,32.6,62,30.7,59,29.2,54,26.7,57,28.2,51,25.4,43,21.4,42,20.9,,,,,,,,,,,,
E06000033,Southend-on-Sea,16,8.8,16,8.7,15,8.2,14,7.6,14,7.6,14,7.7,14,7.7,13,7.1,,,,,,,,,,,,
E06000034,Thurrock,18,10.3,19,10.9,18,10.3,18,10.3,18,10.3,18,10.4,15,8.7,15,8.7,,,,,,,,,,,,
E10000003,Cambridgeshire,169,25.7,131,20.0,117,17.9,118,18.1,105,16.1,99,15.2,99,15.2,95,14.6,,,,,,,,,,,,
E07000008,Cambridge,51,40.8,34,27.2,32,25.6,32,25.6,32,25.6,32,25.4,28,22.3,28,22.3,,,,,,,,,,,,
E07000009,East Cambridgeshire,20,22.2,16,17.8,16,17.8,15,16.7,11,12.2,11,12.3,11,12.3,8,9.0,,,,,,,,,,,,
E07000010,Fenland,5,4.9,4,3.9,4,3.9,2,2.0,1,1.0,1,1.0,3,3.0,3,3.0,,,,,,,,,,,,
E07000011,Huntingdonshire,49,27.4,33,18.5,22,12.4,22,12.4,19,10.7,14,7.9,16,9.0,16,9.0,,,,,,,,,,,,
E07000012,South Cambridgeshire,44,27.3,44,27.7,43,27.0,47,29.5,42,26.4,41,26.0,41,26.0,40,25.4,,,,,,,,,,,,
E10000012,Essex,305,20.4,275,18.5,260,17.5,224,15.0,200,13.4,194,13.1,158,10.7,138,9.3,,,,,,,,,,,,
E07000066,Basildon,53,28.3,54,28.8,48,25.6,47,25.1,41,21.9,41,22.1,28,15.1,30,16.1,,,,,,,,,,,,
E07000067,Braintree,61,39.8,45,29.5,45,29.5,21,13.8,20,13.1,19,12.5,14,9.2,9,5.9,,,,,,,,,,,,
E07000068,Brentwood,7,9.1,5,6.5,3,3.9,3,3.9,3,3.9,2,2.6,1,1.3,1,1.3,,,,,,,,,,,,
E07000069,Castle Point,3,3.3,3,3.3,2,2.2,2,2.2,1,1.1,1,1.1,1,1.1,1,1.1,,,,,,,,,,,,
E07000070,Chelmsford,37,20.6,36,20.2,34,19.1,27,15.1,25,14.0,25,14.1,22,12.4,20,11.3,,,,,,,,,,,,
E07000071,Colchester,45,22.8,42,21.6,41,21.1,41,21.1,29,14.9,29,15.1,26,13.5,24,12.5,,,,,,,,,,,,
E07000072,Epping Forest,35,26.5,35,26.6,34,25.8,34,25.8,32,24.3,29,22.1,29,22.1,18,13.7,,,,,,,,,,,,
E07000073,Harlow,8,9.2,8,9.2,8,9.2,4,4.6,4,4.6,4,4.6,3,3.5,3,3.5,,,,,,,,,,,,
E07000074,Maldon,9,13.8,5,7.7,5,7.7,5,7.7,5,7.7,3,4.7,3,4.7,3,4.7,,,,,,,,,,,,
E07000075,Rochford,15,17.1,15,17.2,13,14.9,12,13.7,12,13.7,12,13.8,4,4.6,2,2.3,,,,,,,,,,,,
E07000076,Tendring,14,9.5,13,8.9,13,8.9,13,8.9,13,8.9,14,9.6,13,8.9,13,8.9,,,,,,,,,,,,
E07000077,Uttlesford,18,19.4,14,15.3,14,15.3,15,16.4,15,16.4,15,16.8,14,15.7,14,15.7,,,,,,,,,,,,
E10000015,Hertfordshire,312,26.1,284,23.9,283,23.8,274,23.0,230,19.3,221,18.7,192,16.2,182,15.4,,,,,,,,,,,,
E07000095,Broxbourne,10,10.2,7,7.2,7,7.2,7,7.2,6,6.2,7,7.2,6,6.2,6,6.2,,,,,,,,,,,,
E07000096,Dacorum,23,14.8,22,14.2,22,14.2,21,13.6,16,10.3,16,10.4,14,9.1,13,8.4,,,,,,,,,,,,
E07000242,East Hertfordshire,17,11.2,14,9.3,15,10.0,15,10.0,15,10.0,15,10.1,13,8.8,13,8.8,,,,,,,,,,,,
E07000098,Hertsmere,28,26.5,26,24.8,26,24.8,26,24.8,25,23.8,24,23.0,21,20.2,19,18.2,,,,,,,,,,,,
E07000099,North Hertfordshire,29,21.7,23,17.2,23,17.2,22,16.5,18,13.5,16,12.0,16,12.0,15,11.3,,,,,,,,,,,,
E07000240,St Albans,40,26.8,32,21.6,32,21.6,32,21.6,31,20.9,26,17.6,25,17.0,25,17.0,,,,,,,,,,,,
E07000243,Stevenage,11,12.5,11,12.5,11,12.5,9,10.2,6,6.8,6,6.8,6,6.8,6,6.8,,,,,,,,,,,,
E07000102,Three Rivers,59,62.8,58,62.1,58,62.1,59,63.2,57,61.1,56,60.2,45,48.4,42,45.1,,,,,,,,,,,,
E07000103,Watford,45,46.6,45,46.6,44,45.6,38,39.3,38,39.3,37,38.2,30,31.0,30,31.0,,,,,,,,,,,,
E07000241,Welwyn Hatfield,50,40.4,46,37.4,45,36.6,45,36.6,18,14.6,18,14.7,16,13.0,13,10.6,,,,,,,,,,,,
E10000020,Norfolk,281,30.7,241,26.5,198,21.8,193,21.3,178,19.6,178,19.7,169,18.7,158,17.5,,,,,,,,,,,,
E07000143,Breckland,33,23.4,28,20.0,18,12.9,18,12.9,16,11.4,16,11.5,16,11.5,15,10.8,,,,,,,,,,,,
E07000144,Broadland,19,14.4,18,13.8,15,11.5,17,13.0,13,9.9,13,10.0,13,10.0,12,9.3,,,,,,,,,,,,
E07000145,Great Yarmouth,32,32.3,20,20.1,20,20.1,20,20.1,17,17.1,17,17.1,17,17.1,14,14.1,,,,,,,,,,,,
E07000146,King's Lynn and West Norfolk,53,35.0,47,31.0,37,24.4,34,22.5,30,19.8,30,19.8,30,19.8,28,18.4,,,,,,,,,,,,
E07000147,North Norfolk,58,55.2,53,50.6,41,39.1,39,37.2,31,29.6,31,29.7,25,23.9,24,23.0,,,,,,,,,,,,
E07000148,Norwich,52,36.6,43,30.6,44,31.3,42,29.9,48,34.1,48,34.0,46,32.6,46,32.6,,,,,,,,,,,,
E07000149,South Norfolk,34,23.8,32,22.7,23,16.3,23,16.3,23,16.3,23,16.7,22,15.9,19,13.8,,,,,,,,,,,,
E10000029,Suffolk,220,28.9,207,27.2,193,25.3,189,24.8,186,24.4,164,21.6,148,19.5,142,18.7,,,,,,,,,,,,
E07000200,Babergh,19,20.5,19,20.6,19,20.6,16,17.4,16,17.4,16,17.5,15,16.4,13,14.2,,,,,,,,,,,,
E07000244,East Suffolk,51,20.4,50,20.0,44,17.6,49,19.6,47,18.8,47,18.9,36,14.5,33,13.3,,,,,,,,,,,,
E07000202,Ipswich,55,40.4,52,38.0,52,38.0,49,35.8,49,35.8,48,34.9,48,34.9,48,34.9,,,,,,,,,,,,
E07000203,Mid Suffolk,16,15.3,16,15.4,12,11.6,9,8.7,9,8.7,9,8.8,6,5.9,5,4.9,,,,,,,,,,,,
E07000245,West Suffolk,79,44.6,70,39.1,66,36.9,66,36.9,65,36.3,44,24.6,43,24.0,43,24.0,,,,,,,,,,,,
E12000007,LONDON,"7,489",83.2,"7,180",80.1,"6,155",68.7,"5,655",63.1,"5,151",57.5,"5,069",56.9,"4,773",53.6,"4,360",48.9,,,,,,,,,,,,
E13000001,Inner London,"4,740",129.5,"4,523",124.5,"3,705",102.0,"3,393",93.4,"2,933",80.7,"2,886",80.2,"2,754",76.5,"2,451",68.1,,,,,,,,,,,,
E09000007,Camden,357,127.7,367,135.9,361,133.7,349,129.2,200,74.1,186,70.9,175,66.7,166,63.3,,,,,,,,,,,,
E09000001,City of London,36,329.1,35,360.0,35,360.0,36,370.3,36,370.3,36,413.5,36,413.5,36,413.5,,,,,,,,,,,,
E09000012,Hackney,136,48.4,135,48.0,134,47.7,130,46.2,128,45.5,128,45.8,127,45.4,126,45.1,,,,,,,,,,,,
E09000013,Hammersmith and Fulham,554,301.8,528,285.2,386,208.5,374,202.0,316,170.7,301,162.3,291,156.9,274,147.8,,,,,,,,,,,,
E09000014,Haringey,89,33.4,84,31.3,82,30.5,59,22.0,53,19.7,52,19.2,54,20.0,53,19.6,,,,,,,,,,,,
E09000019,Islington,266,107.2,254,104.8,236,97.3,227,93.6,225,92.8,224,93.7,205,85.7,183,76.5,,,,,,,,,,,,
E09000020,Kensington and Chelsea,547,348.7,515,329.9,420,269.0,309,197.9,309,197.9,306,195.9,277,177.3,163,104.4,,,,,,,,,,,,
E09000022,Lambeth,303,94.2,246,75.5,247,75.8,250,76.7,190,58.3,191,58.6,187,57.4,178,54.6,,,,,,,,,,,,
E09000023,Lewisham,131,42.9,127,41.5,119,38.9,82,26.8,82,26.8,80,26.4,74,24.4,58,19.1,,,,,,,,,,,,
E09000025,Newham,120,33.8,120,34.0,100,28.3,102,28.9,97,27.5,95,27.0,95,27.0,83,23.6,,,,,,,,,,,,
E09000028,Southwark,357,111.6,328,102.9,267,83.7,249,78.1,199,62.4,195,61.5,191,60.2,154,48.5,,,,,,,,,,,,
E09000030,Tower Hamlets,182,54.8,167,51.4,78,24.0,79,24.3,79,24.3,79,24.9,79,24.9,78,24.6,,,,,,,,,,,,
E09000032,Wandsworth,603,182.9,596,180.8,594,180.2,591,179.3,444,134.7,443,135.7,436,133.5,414,126.8,,,,,,,,,,,,
E09000033,Westminster,1059,392.4,1021,390.7,646,247.2,556,212.8,575,220.0,570,223.2,527,206.4,485,190.0,,,,,,,,,,,,
E13000002,Outer London,"2,749",51.5,"2,657",49.9,"2,450",46.0,"2,262",42.4,"2,218",41.6,"2,183",41.1,"2,019",38.0,"1,909",36.0,,,,,,,,,,,,
E09000002,Barking and Dagenham,64,29.9,64,30.1,60,28.2,57,26.8,57,26.8,60,28.3,52,24.5,52,24.5,,,,,,,,,,,,
E09000003,Barnet,197,49.4,175,44.2,139,35.1,139,35.1,136,34.4,137,34.9,135,34.4,68,17.3,,,,,,,,,,,,
E09000004,Bexley,41,16.4,41,16.5,40,16.1,34,13.7,34,13.7,34,13.8,20,8.1,20,8.1,,,,,,,,,,,,
E09000005,Brent,203,61.9,236,71.6,233,70.7,211,64.0,211,64.0,209,63.2,206,62.3,207,62.6,,,,,,,,,,,,
E09000006,Bromley,80,24.0,81,24.4,80,24.1,80,24.1,76,22.9,75,22.7,72,21.7,72,21.7,,,,,,,,,,,,
E09000008,Croydon,99,25.5,103,26.6,96,24.8,94,24.3,89,23.0,86,22.3,61,15.8,62,16.1,,,,,,,,,,,,
E09000009,Ealing,266,78.2,266,77.8,247,72.3,225,65.8,227,66.4,210,61.4,209,61.1,183,53.5,,,,,,,,,,,,
E09000010,Enfield,105,31.5,77,23.1,54,16.2,37,11.1,39,11.7,39,11.7,38,11.4,33,9.9,,,,,,,,,,,,
E09000011,Greenwich,240,83.0,245,85.1,240,83.4,230,79.9,189,65.6,188,65.7,175,61.1,176,61.5,,,,,,,,,,,,
E09000015,Harrow,49,19.4,26,10.4,16,6.4,15,6.0,16,6.4,15,6.0,15,6.0,14,5.6,,,,,,,,,,,,
E09000016,Havering,25,9.6,25,9.6,19,7.3,14,5.4,13,5.0,13,5.0,11,4.3,11,4.3,,,,,,,,,,,,
E09000017,Hillingdon,199,64.4,187,60.9,202,65.8,201,65.5,198,64.5,199,65.3,189,62.0,190,62.3,,,,,,,,,,,,
E09000018,Hounslow,268,98.6,266,98.0,261,96.1,256,94.3,262,96.5,258,95.3,226,83.5,227,83.8,,,,,,,,,,,,
E09000021,Kingston upon Thames,51,28.5,52,29.3,52,29.3,31,17.5,29,16.3,28,16.0,28,16.0,27,15.4,,,,,,,,,,,,
E09000024,Merton,197,95.4,173,83.8,168,81.3,157,76.0,154,74.6,153,74.2,120,58.2,118,57.2,,,,,,,,,,,,
E09000026,Redbridge,69,22.6,51,16.7,49,16.1,47,15.4,47,15.4,47,15.5,46,15.1,47,15.5,,,,,,,,,,,,
E09000027,Richmond upon Thames,357,180.2,363,183.3,327,165.1,273,137.9,286,144.4,284,144.2,284,144.2,278,141.2,,,,,,,,,,,,
E09000029,Sutton,55,26.5,55,26.7,52,25.2,49,23.7,48,23.3,49,24.0,47,23.0,46,22.5,,,,,,,,,,,,
E09000031,Waltham Forest,184,66.4,171,61.7,115,41.5,112,40.4,107,38.6,99,35.8,85,30.7,78,28.2,,,,,,,,,,,,
E12000008,SOUTH EAST,"3,254",35.3,"3,056",33.3,"2,869",31.3,"2,649",28.9,"2,478",27.0,"2,437",26.7,"2,143",23.5,"1,966",21.5,,,,,,,,,,,,
E06000036,Bracknell Forest,34,27.4,34,27.7,32,26.1,30,24.5,28,22.8,28,23.0,24,19.7,24,19.7,,,,,,,,,,,,
E06000043,Brighton and Hove,331,113.5,272,93.5,258,88.7,227,78.0,165,56.7,163,56.1,58,20.0,59,20.3,,,,,,,,,,,,
E06000046,Isle of Wight,50,35.1,47,33.2,45,31.7,46,32.4,46,32.4,43,30.4,32,22.6,29,20.5,,,,,,,,,,,,
E06000035,Medway,18,6.4,18,6.5,16,5.7,16,5.7,16,5.7,15,5.4,14,5.0,15,5.4,,,,,,,,,,,,
E06000042,Milton Keynes,364,134.7,358,132.9,327,121.4,292,108.4,285,105.8,282,105.0,275,102.4,258,96.1,,,,,,,,,,,,
E06000044,Portsmouth,74,34.5,74,34.4,71,33.0,71,33.0,65,30.2,64,29.7,62,28.8,59,27.4,,,,,,,,,,,,
E06000038,Reading,59,36.8,58,35.9,57,35.2,51,31.5,50,30.9,50,30.6,34,20.8,37,22.7,,,,,,,,,,,,
E06000039,Slough,68,45.5,68,45.5,66,44.1,57,38.1,56,37.4,64,42.9,63,42.3,47,31.5,,,,,,,,,,,,
E06000045,Southampton,74,29.3,72,28.5,71,28.1,71,28.1,66,26.1,66,26.1,63,24.9,58,22.9,,,,,,,,,,,,
E06000037,West Berkshire,104,65.6,102,64.4,98,61.8,98,61.8,97,61.2,97,61.2,83,52.4,78,49.2,,,,,,,,,,,,
E06000040,Windsor and Maidenhead,39,25.8,33,21.8,33,21.8,32,21.1,31,20.5,31,20.5,29,19.2,29,19.2,,,,,,,,,,,,
E06000041,Wokingham,63,36.2,61,35.6,56,32.7,53,31.0,52,30.4,52,31.0,50,29.8,39,23.2,,,,,,,,,,,,
E06000060,Buckinghamshire,156,28.5,147,27.0,139,25.6,135,24.8,135,24.8,129,23.9,115,21.3,106,19.6,,,,,,,,,,,,
E10000011,East Sussex,109,19.5,101,18.1,97,17.4,94,16.9,84,15.1,83,15.0,77,13.9,59,10.6,,,,,,,,,,,,
E07000061,Eastbourne,36,34.8,33,31.8,33,31.8,33,31.8,31,29.9,31,30.1,31,30.1,16,15.5,,,,,,,,,,,,
E07000062,Hastings,14,15.1,13,14.0,14,15.1,11,11.9,8,8.6,8,8.6,8,8.6,7,7.5,,,,,,,,,,,,
E07000063,Lewes,24,23.2,23,22.3,22,21.3,23,22.3,21,20.3,20,19.5,16,15.6,15,14.6,,,,,,,,,,,,
E07000064,Rother,12,12.4,10,10.4,10,10.4,10,10.4,9,9.4,9,9.4,9,9.4,9,9.4,,,,,,,,,,,,
E07000065,Wealden,23,14.1,22,13.6,18,11.1,17,10.5,15,9.3,15,9.4,13,8.1,12,7.5,,,,,,,,,,,,
E10000014,Hampshire,481,34.6,437,31.6,415,30.0,380,27.5,373,27.0,365,26.5,327,23.8,290,21.1,,,,,,,,,,,,
E07000084,Basingstoke and Deane,65,36.6,64,36.2,61,34.5,57,32.3,58,32.8,57,32.4,51,29.0,45,25.6,,,,,,,,,,,,
E07000085,East Hampshire,31,25.0,31,25.3,32,26.2,27,22.1,28,22.9,27,22.4,25,20.7,24,19.9,,,,,,,,,,,,
E07000086,Eastleigh,57,42.1,29,21.7,29,21.7,27,20.2,26,19.5,25,19.0,21,15.9,19,14.4,,,,,,,,,,,,
E07000087,Fareham,11,9.5,10,8.6,8,6.9,8,6.9,8,6.9,8,6.9,8,6.9,8,6.9,,,,,,,,,,,,
E07000088,Gosport,11,13.0,11,13.0,11,13.0,9,10.6,8,9.4,8,9.4,8,9.4,6,7.0,,,,,,,,,,,,
E07000089,Hart,46,47.1,46,47.4,46,47.4,46,47.4,46,47.4,46,47.8,38,39.5,33,34.3,,,,,,,,,,,,
E07000090,Havant,25,19.8,25,19.8,25,19.8,25,19.8,25,19.8,25,19.9,22,17.5,19,15.1,,,,,,,,,,,,
E07000091,New Forest,76,42.3,80,44.4,74,41.1,63,35.0,60,33.3,58,32.3,56,31.2,53,29.5,,,,,,,,,,,,
E07000092,Rushmoor,31,32.8,29,30.7,28,29.6,27,28.5,24,25.4,24,25.2,22,23.1,17,17.9,,,,,,,,,,,,
E07000093,Test Valley,41,32.2,45,35.7,43,34.1,40,31.7,40,31.7,39,31.2,30,24.0,20,16.0,,,,,,,,,,,,
E07000094,Winchester,87,69.1,67,53.7,58,46.5,51,40.8,50,40.0,48,38.6,46,37.0,46,37.0,,,,,,,,,,,,
E10000016,Kent,405,25.5,378,23.9,352,22.3,306,19.3,295,18.7,289,18.4,271,17.3,247,15.7,,,,,,,,,,,,
E07000105,Ashford,35,26.7,35,26.9,33,25.4,33,25.4,33,25.4,33,25.5,29,22.4,30,23.2,,,,,,,,,,,,
E07000106,Canterbury,65,39.0,55,33.3,54,32.6,37,22.4,35,21.2,35,21.3,31,18.8,28,17.0,,,,,,,,,,,,
E07000107,Dartford,40,35.1,40,35.5,34,30.2,21,18.6,20,17.8,19,17.3,19,17.3,17,15.5,,,,,,,,,,,,
E07000108,Dover,14,11.8,11,9.3,11,9.3,11,9.3,11,9.3,10,8.5,9,7.7,9,7.7,,,,,,,,,,,,
E07000112,Folkestone and Hythe,31,27.4,31,27.4,27,23.9,28,24.8,28,24.8,28,24.9,26,23.1,25,22.2,,,,,,,,,,,,
E07000109,Gravesham,10,9.4,10,9.4,10,9.4,4,3.7,4,3.7,4,3.8,4,3.8,4,3.8,,,,,,,,,,,,
E07000110,Maidstone,61,35.2,58,33.8,56,32.6,52,30.3,47,27.4,47,27.7,47,27.7,37,21.8,,,,,,,,,,,,
E07000111,Sevenoaks,20,16.5,18,14.9,18,14.9,18,14.9,18,14.9,18,15.0,20,16.6,20,16.6,,,,,,,,,,,,
